0.37218300   0.84974802   0.00276563   0.86581898  0.11730800E+01  0.38615100E-02  0.16545000E-02 0.22719700E-02  -.13354101E-02  0.66091800E-02 0.94689596E-02 
0.39134327   0.85785300   0.00285238   0.87174499  0.11657100E+01  0.36577401E-02  0.15925100E-02 0.21922700E-02  -.12706000E-02  0.67823902E-02 0.94790701E-02 
0.41105857   0.86611497   0.00291716   0.87755400  0.11583600E+01  0.34681601E-02  0.15345500E-02 0.20992199E-02  -.12111800E-02  0.69523202E-02 0.95372600E-02 
0.43134344   0.87427098   0.00293979   0.88347203  0.11509399E+01  0.32495901E-02  0.14847900E-02 0.19950899E-02  -.11482600E-02  0.71148602E-02 0.95730098E-02 
0.45221055   0.88225198   0.00305663   0.88937002  0.11435699E+01  0.30334899E-02  0.14342600E-02 0.18852800E-02  -.10822500E-02  0.72998898E-02 0.96188104E-02 
0.47367612   0.88994402   0.00319351   0.89509302  0.11365100E+01  0.28472999E-02  0.13853200E-02 0.17837700E-02  -.10198400E-02  0.75405198E-02 0.96805701E-02 
0.49575278   0.89736801   0.00333977   0.90048897  0.11299500E+01  0.26774199E-02  0.13334600E-02 0.16957500E-02  -.95887401E-03  0.77827801E-02 0.97833397E-02 
0.51845688   0.90452701   0.00351535   0.90582901  0.11238000E+01  0.25237601E-02  0.12787899E-02 0.16095800E-02  -.90321602E-03  0.79723196E-02 0.98591298E-02 
0.54180104   0.91166598   0.00367346   0.91137898  0.11174300E+01  0.23724600E-02  0.12172000E-02 0.15222500E-02  -.85140701E-03  0.81128199E-02 0.98419897E-02 
0.56580156   0.91889399   0.00384582   0.91739202  0.11106200E+01  0.22174099E-02  0.11606200E-02 0.14353500E-02  -.80579898E-03  0.82404502E-02 0.98260399E-02 
0.59047282   0.92594999   0.00401797   0.92338300  0.11038600E+01  0.20796901E-02  0.10937500E-02 0.13527200E-02  -.75909699E-03  0.83635803E-02 0.98013198E-02 
0.61583114   0.93288398   0.00411686   0.92935598  0.10972400E+01  0.19365300E-02  0.10322900E-02 0.12699100E-02  -.70515502E-03  0.84364004E-02 0.97281104E-02 
0.64189112   0.93951398   0.00419731   0.93519902  0.10907000E+01  0.17883000E-02  0.97149500E-03 0.11739900E-02  -.64669998E-03  0.84411604E-02 0.96064899E-02 
0.66866696   0.94590098   0.00416536   0.94090998  0.10840501E+01  0.16441600E-02  0.90555701E-03 0.10742100E-02  -.59051602E-03  0.84395204E-02 0.95272604E-02 
0.69617695   0.95191401   0.00416508   0.94631302  0.10777500E+01  0.15046900E-02  0.84095798E-03 0.97118301E-03  -.53311698E-03  0.82836105E-02 0.92880102E-02 
0.72443551   0.95758700   0.00427964   0.95166200  0.10715801E+01  0.13608700E-02  0.77316997E-03 0.87676401E-03  -.47444701E-03  0.79992004E-02 0.89285299E-02 
0.75345701   0.96268499   0.00430610   0.95687598  0.10656101E+01  0.12139700E-02  0.70955697E-03 0.79342601E-03  -.41577200E-03  0.76632500E-02 0.85274000E-02 
0.78325963   0.96727902   0.00437201   0.96201801  0.10600700E+01  0.10836700E-02  0.64254599E-03 0.71302103E-03  -.36103401E-03  0.72981399E-02 0.80743805E-02 
0.81385607   0.97155499   0.00448752   0.96722001  0.10547000E+01  0.96112501E-03  0.58652897E-03 0.63968397E-03  -.31572400E-03  0.69379802E-02 0.76306202E-02 
0.84526426   0.97568500   0.00454832   0.97214502  0.10494200E+01  0.84211101E-03  0.52610302E-03 0.57032902E-03  -.26812099E-03  0.64822901E-02 0.70613502E-02 
0.87750053   0.97941399   0.00461635   0.97663498  0.10441999E+01  0.73897198E-03  0.47167999E-03 0.49735402E-03  -.22638599E-03  0.58867601E-02 0.64049000E-02 
0.91057944   0.98281699   0.00460552   0.98127598  0.10387200E+01  0.64113498E-03  0.41664700E-03 0.41914399E-03  -.18785300E-03  0.52451799E-02 0.56693400E-02 
0.94451708   0.98586202   0.00461934   0.98541701  0.10335200E+01  0.54168998E-03  0.36114699E-03 0.34428600E-03  -.15025900E-03  0.45362199E-02 0.48141899E-02 
0.97932816   0.98856997   0.00456119   0.98942101  0.10285300E+01  0.43447100E-03  0.30474400E-03 0.27785101E-03  -.11332800E-03  0.36669101E-02 0.38150100E-02 
1.01502870   0.99102902   0.00461808   0.99342400  0.10235500E+01  0.33067199E-03  0.25257701E-03 0.21799900E-03  -.79431200E-04  0.27242801E-02 0.27417899E-02 
1.18750000   0.99862420   0.00318833   1.00429980  0.10016663E+01  0.92830590E-05  0.25588351E-05 0.60170680E-05  -.98170270E-06 0.41313037E-07 0.55823453E-07
1.75000000   1.00002610   0.00120522   1.00024150  0.10001029E+01  0.94503700E-05  0.24158255e-05 0.63273274E-05  -.92291920E-06 0.65000610E-07 0.17222243E-07
